ponto_id,lat_pred,lon_pred
0.0,-8.055528841294779,-34.95187160477542
3.0,-8.055528841294779,-34.95187160477542
8.0,-8.055693448237339,-34.95208432690234
10.0,-8.055528841294779,-34.95187160477542
12.0,-8.055528841294779,-34.95187160477542
14.0,-8.055528841294779,-34.95187160477542
17.0,-8.055528841294779,-34.95187160477542
19.0,-8.055528841294779,-34.95187160477542
23.0,-8.055528841294779,-34.95187160477542
29.0,-8.055528841294779,-34.95187160477542
30.0,-8.05568104267134,-34.95206829514606
31.0,-8.055528841294779,-34.95187160477542
33.0,-8.055528841294779,-34.95187160477542
36.0,-8.055528841294779,-34.95187160477542
37.0,-8.055528841294779,-34.95187160477542
39.0,-8.055528841294779,-34.95187160477542
41.0,-8.055528841294779,-34.95187160477542
46.0,-8.055528841294779,-34.95187160477542
47.0,-8.055528841294779,-34.95187160477542
48.0,-8.055528841294779,-34.95187160477542
50.0,-8.055528841294779,-34.95187160477542
56.0,-8.055528841294779,-34.95187160477542
58.0,-8.055528841294779,-34.95187160477542
59.0,-8.055528841294779,-34.95187160477542
61.0,-8.055528841294779,-34.95187160477542
65.0,-8.055528841294779,-34.95187160477542
68.0,-8.055528841294779,-34.95187160477542
69.0,-8.055528841294779,-34.95187160477542
70.0,-8.055528841294779,-34.95187160477542
73.0,-8.055601947099605,-34.95196607966239
76.0,-8.055601947099605,-34.95196607966239
79.0,-8.055601947099605,-34.95196607966239
80.0,-8.055601947099605,-34.95196607966239
81.0,-8.055601947099605,-34.95196607966239
87.0,-8.055601947099605,-34.95196607966239
88.0,-8.055601947099605,-34.95196607966239
91.0,-8.055601947099605,-34.95196607966239
92.0,-8.055601947099605,-34.95196607966239
93.0,-8.055601947099605,-34.95196607966239
95.0,-8.055601947099605,-34.95196607966239
96.0,-8.055601947099605,-34.95196607966239
99.0,-8.055574249871059,-34.95193028643718
100.0,-8.055574249871059,-34.95193028643718
101.0,-8.055601947099605,-34.95196607966239
102.0,-8.055601947099605,-34.95196607966239
103.0,-8.055601947099605,-34.95196607966239
104.0,-8.055601947099605,-34.95196607966239
106.0,-8.055601947099605,-34.95196607966239
107.0,-8.055601947099605,-34.95196607966239
108.0,-8.055601947099605,-34.95196607966239
111.0,-8.055601947099605,-34.95196607966239
118.0,-8.055552733492519,-34.95190248074603
119.0,-8.055554220206382,-34.951904402031545
122.0,-8.055554220206382,-34.951904402031545
131.0,-8.055554220206382,-34.951904402031545
132.0,-8.055554220206382,-34.951904402031545
135.0,-8.055554220206382,-34.951904402031545
144.0,-8.055554220206382,-34.951904402031545
149.0,-8.055554220206382,-34.951904402031545
151.0,-8.055554220206382,-34.951904402031545
157.0,-8.055594044018548,-34.95195586648313
164.0,-8.055594044018548,-34.95195586648313
167.0,-8.055594044018548,-34.95195586648313
168.0,-8.055594044018548,-34.95195586648313
169.0,-8.055517382518518,-34.95185679655883
172.0,-8.055594044018548,-34.95195586648313
176.0,-8.055594044018548,-34.95195586648313
177.0,-8.055594044018548,-34.95195586648313
179.0,-8.055693991863498,-34.952085029432325
180.0,-8.055682060501384,-34.95206961049138
181.0,-8.055659030469437,-34.95203984870064
185.0,-8.055663817060452,-34.95204603442893
196.0,-8.055663817060452,-34.95204603442893
199.0,-8.055663817060452,-34.95204603442893
209.0,-8.055677244890143,-34.952063387260154
211.0,-8.055677244890143,-34.952063387260154
212.0,-8.055677244890143,-34.952063387260154
214.0,-8.055677244890143,-34.952063387260154
217.0,-8.055677244890143,-34.952063387260154
218.0,-8.055677244890143,-34.952063387260154
221.0,-8.055693991863498,-34.952085029432325
222.0,-8.055693991863498,-34.952085029432325
229.0,-8.055693991863498,-34.952085029432325
230.0,-8.05559763728278,-34.95196051007105
233.0,-8.05559763728278,-34.95196051007105
239.0,-8.05559763728278,-34.95196051007105
245.0,-8.05559763728278,-34.95196051007105
247.0,-8.05559763728278,-34.95196051007105
248.0,-8.05559763728278,-34.95196051007105
251.0,-8.05559763728278,-34.95196051007105
252.0,-8.055587564383181,-34.95194749282771
257.0,-8.055587564383181,-34.95194749282771
263.0,-8.055587564383181,-34.95194749282771
265.0,-8.055587564383181,-34.95194749282771
267.0,-8.055593504006467,-34.951955168623634
274.0,-8.055574249871059,-34.95193028643718
286.0,-8.055621664687607,-34.951991560770246
288.0,-8.055621664687607,-34.951991560770246
291.0,-8.055621664687607,-34.951991560770246
292.0,-8.055621664687607,-34.951991560770246
300.0,-8.055621664687607,-34.951991560770246
304.0,-8.055615494719,-34.951983587298265
308.0,-8.055621664687607,-34.951991560770246
311.0,-8.055621664687607,-34.951991560770246
315.0,-8.055684806321533,-34.95207315892435
316.0,-8.055684806321533,-34.95207315892435
318.0,-8.055684806321533,-34.95207315892435
319.0,-8.055684806321533,-34.95207315892435
321.0,-8.055684806321533,-34.95207315892435
323.0,-8.055684806321533,-34.95207315892435
328.0,-8.055684806321533,-34.95207315892435
330.0,-8.055706043388762,-34.952100603660526
332.0,-8.055706043388762,-34.952100603660526
333.0,-8.055706043388762,-34.952100603660526
334.0,-8.055706043388762,-34.952100603660526
335.0,-8.055706043388762,-34.952100603660526
337.0,-8.05569939042806,-34.952092006016166
346.0,-8.05569939042806,-34.952092006016166
349.0,-8.05569939042806,-34.952092006016166
350.0,-8.05569939042806,-34.952092006016166
353.0,-8.05569939042806,-34.952092006016166
354.0,-8.055725735452349,-34.95212605178309
360.0,-8.055673888223922,-34.95205904942867
367.0,-8.055406613340272,-34.95171364916282
379.0,-8.055406613340272,-34.95171364916282
381.0,-8.055554220206382,-34.951904402031545
385.0,-8.055586900720337,-34.9519466351739
388.0,-8.055586900720337,-34.9519466351739
393.0,-8.055586900720337,-34.9519466351739
394.0,-8.055586900720337,-34.9519466351739
400.0,-8.055586900720337,-34.9519466351739
401.0,-8.055586900720337,-34.9519466351739
402.0,-8.055586900720337,-34.9519466351739
